Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
22                   2                    100                  0.6800000000         Equal GLC            131.3382728770       Equal GLC            58.7613811595       
22                   3                    100                  0.7200000000         Equal GLC            121.8163008803       Equal GLC            54.0003951612       
22                   4                    100                  0.5800000000         Guessing             138.6294361120       Biased Guessing      69.2947167224       
22                   5                    100                  0.6700000000         Equal GLC            127.9930734893       Equal GLC            57.0887814656       
22                   6                    100                  0.5300000000         Guessing             138.6294361120       Equal GLC            67.9657152504       
22                   7                    100                  0.5600000000         Guessing             138.6294361120       Biased Guessing      69.2947167224       
22                   8                    100                  0.7700000000         Equal GLC            123.5600104561       Equal GLC            54.8722499491       
23                   1                    100                  0.6900000000         Equal GLC            126.1990347737       Equal GLC            56.1917621079       
23                   2                    100                  0.6100000000         Guessing             138.6294361120       Equal GLC            64.8002107098       
23                   3                    100                  0.5600000000         Guessing             138.6294361120       Biased Guessing      69.2947167224       
23                   4                    100                  0.6100000000         Biased Guessing      138.3547875563       Biased Guessing      66.8748086852       
23                   5                    100                  0.4800000000         Biased Guessing      134.0944979929       Biased Guessing      64.7446639035       
23                   6                    100                  0.5100000000         Biased Guessing      134.0944979929       Biased Guessing      64.7446639035       
23                   7                    100                  0.4900000000         Guessing             138.6294361120       Biased Guessing      68.8138813714       
23                   8                    100                  0.4700000000         Guessing             138.6294361120       Biased Guessing      68.8138813714       
24                   1                    100                  0.5500000000         Guessing             138.6294361120       Biased Guessing      68.0292000192       
24                   2                    100                  0.6600000000         Equal GLC            130.5570000483       Equal GLC            58.3707447452       
24                   3                    100                  0.7800000000         Equal GLC            90.2259813024        Equal GLC            38.2052353722       
24                   4                    100                  0.8500000000         Equal GLC            83.0150026536        Equal GLC            34.5997460478       
24                   5                    100                  0.7900000000         Equal GLC            100.2363710348       Equal GLC            43.2104302384       
24                   6                    100                  0.8000000000         Equal GLC            93.4618672831        Equal GLC            39.8231783626       
24                   7                    100                  0.7600000000         Equal GLC            105.5683874227       Equal GLC            45.8764384324       
24                   8                    100                  0.8500000000         Equal GLC            84.8360807281        Equal GLC            35.5102850851       
25                   1                    100                  0.6600000000         Equal GLC            110.8017822551       Equal GLC            48.4931358486       
25                   2                    100                  0.8100000000         Equal GLC            57.1509810568        Equal GLC            21.6677352494       
25                   3                    100                  0.8500000000         Equal GLC            67.8444285594        Equal GLC            27.0144590007       
25                   4                    100                  0.7800000000         Unidimensional X     89.5647490381        Equal GLC            39.5844653721       
25                   5                    100                  0.8300000000         Equal GLC            85.6645227117        Equal GLC            35.9245060769       
25                   6                    100                  0.7800000000         Equal GLC            93.7719488909        Equal GLC            39.9782191665       
25                   7                    100                  0.8100000000         Equal GLC            80.1482239977        Equal GLC            33.1663567199       
25                   8                    100                  0.8700000000         Equal GLC            72.8679511610        Equal GLC            29.5262203015       
26                   1                    100                  0.7500000000         Unidimensional X     94.6699894369        Equal GLC            41.7851572552       
26                   2                    100                  0.7300000000         Unidimensional X     93.5633995373        Equal GLC            42.1611969592       
26                   3                    100                  0.6800000000         Unidimensional X     98.5336216692        Equal GLC            44.0863244566       
26                   4                    100                  0.6200000000         Unidimensional X     102.7302725345       Unidimensional X     46.7599660812       
26                   5                    100                  0.6700000000         Unidimensional X     110.6980679144       Equal GLC            50.7319988331       
26                   6                    100                  0.6600000000         Unidimensional X     106.7049656881       Equal GLC            48.7101336443       
26                   7                    100                  0.6400000000         Unidimensional X     96.5389975255        Equal GLC            43.6241222782       
26                   8                    100                  0.5900000000         Unidimensional X     112.9404867867       Equal GLC            51.7429271425       
27                   1                    100                  0.6900000000         Unidimensional X     116.1742517444       Equal GLC            51.8117912155       
27                   2                    100                  0.7200000000         Equal GLC            102.1059014782       Equal GLC            44.1451954601       
27                   3                    100                  0.7800000000         Unidimensional X     79.5514131306        Equal GLC            33.1091270591       
27                   4                    100                  0.8800000000         Equal GLC            84.7228826455        Equal GLC            35.4536860438       
27                   5                    100                  0.8500000000         Equal GLC            70.4324924618        Equal GLC            28.3084909519       
27                   6                    100                  0.8800000000         Equal GLC            67.0767046479        Equal GLC            26.6305970450       
27                   7                    100                  0.7700000000         Equal GLC            101.4411467176       Equal GLC            43.8128180798       
27                   8                    100                  0.7900000000         Equal GLC            91.9550232208        Equal GLC            39.0697563314       
106                  1                    100                  0.6100000000         Unidimensional X     121.1103571870       Equal GLC            55.8546606495       
106                  2                    100                  0.8200000000         Equal GLC            86.4052689602        Equal GLC            36.2948792011       
106                  3                    100                  0.8500000000         Equal GLC            79.6602927904        Equal GLC            32.9223911162       
106                  4                    100                  0.7400000000         Equal GLC            98.5983478179        Equal GLC            42.3914186300       
106                  5                    100                  0.8100000000         Equal GLC            95.5136152814        Equal GLC            40.8490523617       
106                  6                    100                  0.7600000000         Equal GLC            84.9329259858        Equal GLC            35.5587077139       
106                  7                    100                  0.8500000000         Equal GLC            82.4531107189        Equal GLC            34.3188000805       
106                  8                    100                  0.8100000000         Equal GLC            89.2963268042        Equal GLC            37.7404081231       
107                  1                    100                  0.7300000000         Unidimensional X     102.4488969916       Equal GLC            44.3697741722       
107                  2                    100                  0.7900000000         Equal GLC            85.5324828219        Equal GLC            35.8584861320       
107                  3                    100                  0.6800000000         Equal GLC            106.1410865820       Equal GLC            46.1627880120       
107                  4                    100                  0.6900000000         Equal GLC            116.5251475014       Equal GLC            51.3548184717       
107                  5                    100                  0.7900000000         Unidimensional X     91.7492979177        Equal GLC            40.1910190935       
107                  6                    100                  0.7600000000         Equal GLC            94.9900780927        Equal GLC            40.5872837674       
107                  7                    100                  0.8000000000         Equal GLC            70.0721084498        Equal GLC            28.1282989459       
107                  8                    100                  0.7700000000         Equal GLC            89.6079024082        Equal GLC            37.8961959251       
108                  1                    100                  0.7600000000         Equal GLC            87.6855869548        Equal GLC            36.9350381984       
108                  2                    100                  0.6500000000         Unidimensional X     104.1602152945       Equal GLC            45.8677216872       
108                  3                    100                  0.7400000000         Equal GLC            106.8448256375       Equal GLC            46.5146575398       
108                  4                    100                  0.7600000000         Equal GLC            98.3574221628        Equal GLC            42.2709558024       
108                  5                    100                  0.7800000000         Equal GLC            96.8494977061        Equal GLC            41.5169935741       
108                  6                    100                  0.8000000000         Equal GLC            100.1695619873       Equal GLC            43.1770257146       
108                  7                    100                  0.7100000000         Equal GLC            110.5631656182       Equal GLC            48.3738275301       
108                  8                    100                  0.6300000000         Equal GLC            128.2032785612       Equal GLC            57.1938840016       
