Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
212                  3                    100                  0.9400000000         Unidimensional X     62.6908023874        Equal GLC            26.7183235971       
212                  4                    100                  0.9400000000         Unidimensional X     26.4951127953        Equal GLC            7.0306919832        
212                  5                    100                  0.7700000000         Equal GLC            109.5803578428       Equal GLC            47.8824236424       
212                  6                    100                  0.8100000000         Equal GLC            94.7728702291        Equal GLC            40.4786798356       
214                  1                    100                  0.8400000000         Unidimensional Y     88.6462958886        Equal GLC            38.9292513661       
214                  2                    100                  0.8500000000         Unidimensional Y     81.2300489513        Equal GLC            34.0979404405       
214                  3                    100                  0.8200000000         Equal GLC            94.8380965900        Equal GLC            40.5112930160       
214                  4                    100                  0.9200000000         Unidimensional X     41.6387714120        Unidimensional X     16.2142155200       
214                  5                    100                  0.6800000000         Unidimensional Y     126.5751309948       Equal GLC            57.2288077190       
214                  6                    100                  0.6600000000         Equal GLC            117.2625397467       Equal GLC            51.7235145944       
218                  1                    100                  0.9300000000         Unidimensional Y     46.5368113195        Equal GLC            18.6430017940       
218                  2                    100                  0.8800000000         Unidimensional Y     56.7932789491        Equal GLC            23.5749671109       
218                  3                    100                  0.8800000000         Unidimensional X     67.1336380935        Equal GLC            27.7912926852       
218                  4                    100                  0.8800000000         Unidimensional X     71.4624875967        Equal GLC            29.2719387997       
218                  5                    100                  0.5800000000         Unidimensional X     136.8701093073       Equal GLC            62.4925242348       
218                  6                    100                  0.6000000000         Guessing             138.6294361120       Biased Guessing      68.5929800252       
219                  1                    100                  0.6500000000         Unidimensional X     121.3862947144       Equal GLC            55.5974128343       
219                  2                    100                  0.9200000000         Unidimensional Y     43.4000020511        Equal GLC            16.9332986916       
219                  3                    100                  0.9000000000         Equal GLC            77.5427174708        Equal GLC            31.8636034564       
219                  4                    100                  0.0000000000         Unidimensional X     9.4805023649         Unidimensional X     0.1350809965        
219                  5                    100                  0.0000000000         Unidimensional X     9.4805023649         Unidimensional X     0.1350809965        
