Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
47                   6                    100                  0.9100000000         Unidimensional Y     57.3300318156        Equal GLC            21.7769993030       
47                   7                    100                  0.7100000000         Unidimensional Y     108.1484811736       Equal GLC            47.9712517041       
47                   8                    100                  0.6100000000         Equal GLC            131.0435261814       Equal GLC            58.6140078117       
51                   1                    100                  0.8500000000         Equal GLC            91.2192530973        Equal GLC            38.7018712697       
51                   2                    100                  0.8900000000         Unidimensional Y     78.1993893745        Equal GLC            33.1882598359       
51                   3                    100                  0.9300000000         Equal GLC            55.4131449809        Equal GLC            20.7988172114       
51                   4                    100                  0.9300000000         Equal GLC            57.1893609887        Equal GLC            21.6869252154       
51                   5                    100                  0.9000000000         Unidimensional X     60.9349720436        Equal GLC            25.8283923211       
51                   6                    100                  0.9800000000         Unidimensional X     26.5282620379        Equal GLC            8.3825043084        
51                   7                    100                  0.7700000000         Equal GLC            92.3128441683        Equal GLC            39.2486668051       
51                   8                    100                  0.8300000000         Equal GLC            89.0695968149        Equal GLC            37.6270431284       
53                   1                    100                  0.8500000000         Unidimensional X     85.8031617640        Equal GLC            38.2154737485       
53                   2                    100                  0.6900000000         Unidimensional X     126.6251581294       Equal GLC            58.7071670633       
53                   3                    100                  0.6400000000         Unidimensional X     132.4144602782       Equal GLC            61.3909198000       
53                   4                    100                  0.6500000000         Unidimensional X     135.7152100554       Unidimensional X     63.2524348417       
53                   5                    100                  0.5000000000         Guessing             138.6294361120       Biased Guessing      68.0292000192       
53                   6                    100                  0.5100000000         Guessing             138.6294361120       Biased Guessing      68.3314913574       
53                   7                    100                  0.5200000000         Biased Guessing      134.0944979929       Biased Guessing      64.7446639035       
53                   8                    100                  0.5300000000         Biased Guessing      126.7780305970       Biased Guessing      61.0864302055       
101                  1                    100                  0.9200000000         Unidimensional X     58.3375570916        Equal GLC            24.0206644356       
101                  2                    100                  0.9500000000         Unidimensional X     24.5052490897        Unidimensional X     7.6474543589        
101                  3                    100                  0.9800000000         Unidimensional X     19.9675145306        Equal GLC            5.3780755347        
101                  4                    100                  0.8900000000         Unidimensional Y     81.7821618991        Equal GLC            34.9117605519       
