Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
324                  1                    100                  0.8200000000         Unidimensional Y     83.9314208065        Equal GLC            37.1268045739       
324                  2                    100                  0.9000000000         Unidimensional Y     55.0443139933        Equal GLC            22.7493506128       
324                  3                    100                  0.9400000000         Unidimensional X     43.3374760529        Unidimensional X     17.0635678404       
324                  4                    100                  0.9800000000         Unidimensional X     35.9060040111        Unidimensional X     13.3478318196       
324                  5                    100                  0.5200000000         Unidimensional Y     137.4867696949       Unidimensional Y     64.1382146615       
324                  6                    100                  0.5400000000         Guessing             138.6294361120       Biased Guessing      68.3314913574       
331                  1                    100                  0.8800000000         Equal GLC            73.6517513959        Equal GLC            29.9181204190       
331                  2                    100                  0.9600000000         Unidimensional X     40.0913385582        Equal GLC            13.6810026239       
331                  3                    100                  0.6400000000         Guessing             138.6294361120       Equal GLC            66.4888777348       
331                  4                    100                  0.8700000000         Unidimensional Y     63.8447451046        Equal GLC            25.2069865252       
331                  5                    100                  0.7400000000         Unidimensional Y     83.2047700680        Equal GLC            36.8565474433       
331                  6                    100                  0.7600000000         Unidimensional Y     87.8508577626        Equal GLC            38.1683719681       
332                  1                    100                  0.6700000000         Unidimensional X     135.8817955225       Equal GLC            61.3497047531       
332                  2                    100                  0.8100000000         Equal GLC            97.7337942992        Equal GLC            41.9591418706       
332                  3                    100                  0.8900000000         Equal GLC            69.1586477674        Equal GLC            27.6715686047       
332                  4                    100                  0.9200000000         Unidimensional X     51.9797605040        Equal GLC            21.3839905268       
332                  5                    100                  0.5800000000         Unidimensional Y     122.7717182824       Equal GLC            55.2039065413       
332                  6                    100                  0.6400000000         Unidimensional Y     109.1343101025       Equal GLC            49.0471744487       
333                  1                    100                  0.8400000000         Unidimensional Y     95.9557055652        Equal GLC            41.5744256863       
333                  2                    100                  0.8700000000         Unidimensional Y     58.5707439701        Equal GLC            24.5460471870       
333                  3                    100                  0.9100000000         Equal GLC            76.9986170482        Equal GLC            31.5915532451       
333                  4                    100                  0.9000000000         Equal GLC            68.4195510734        Equal GLC            27.3020202577       
333                  5                    100                  0.7900000000         Unidimensional Y     87.0380940918        Equal GLC            36.8237397534       
333                  6                    100                  0.7100000000         Unidimensional Y     100.7372074572       Equal GLC            44.0308061396       
334                  1                    100                  0.9000000000         Unidimensional Y     63.5670633722        Equal GLC            27.0016199770       
334                  2                    100                  0.8600000000         Unidimensional Y     71.1920111706        Unidimensional Y     30.9908353993       
334                  3                    100                  0.8300000000         Equal GLC            98.0785144224        Equal GLC            42.1315019322       
334                  4                    100                  0.9600000000         Unidimensional X     9.4805023649         Unidimensional X     0.1350809965        
334                  5                    100                  0.6300000000         Unidimensional Y     118.0526687611       Equal GLC            54.3798192585       
334                  6                    100                  0.6800000000         Unidimensional Y     103.9707696940       Equal GLC            45.9988898336       
408                  1                    100                  0.8900000000         Equal GLC            74.5192777167        Equal GLC            30.3518835794       
408                  2                    100                  0.8000000000         Equal GLC            96.7570999506        Equal GLC            41.4707946963       
408                  3                    100                  0.9400000000         Equal GLC            49.4495458827        Equal GLC            17.8170176624       
408                  4                    100                  0.9500000000         Unidimensional X     32.1395322589        Equal GLC            11.4578579383       
408                  5                    100                  0.7300000000         Equal GLC            117.4771838481       Equal GLC            51.8308366451       
408                  6                    100                  0.7100000000         Equal GLC            131.6937231707       Equal GLC            58.9391063064       
409                  1                    100                  0.8900000000         Unidimensional Y     59.5347284986        Equal GLC            23.2467089538       
409                  2                    100                  0.9600000000         Unidimensional Y     36.6171990745        Equal GLC            13.3478318196       
409                  3                    100                  0.9200000000         Equal GLC            55.9577563831        Equal GLC            21.0711229125       
409                  4                    100                  0.9200000000         Unidimensional X     22.6932531880        Equal GLC            6.7414564080        
409                  5                    100                  0.6200000000         Unidimensional X     125.3035166601       Unidimensional X     58.0465881441       
409                  6                    100                  0.5000000000         Guessing             138.6294361120       Biased Guessing      68.0292000192       
410                  1                    100                  0.7900000000         Unidimensional Y     94.1781475932        Equal GLC            42.3147373510       
410                  2                    100                  0.8600000000         Unidimensional Y     51.4360814739        Equal GLC            21.0517073637       
410                  3                    100                  0.8800000000         Unidimensional X     61.8579719617        Equal GLC            26.3201913547       
410                  4                    100                  0.9400000000         Equal GLC            45.8519610180        Equal GLC            16.0182252300       
410                  5                    100                  0.6800000000         Equal GLC            110.1487887581       Equal GLC            48.1666391001       
410                  6                    100                  0.8200000000         Equal GLC            80.2437338686        Equal GLC            33.2141116553       
411                  1                    100                  0.8900000000         Unidimensional X     79.0933542871        Equal GLC            33.7161635319       
411                  2                    100                  0.9500000000         Equal GLC            70.8719776386        Equal GLC            28.5282335403       
411                  3                    100                  0.8400000000         Equal GLC            99.7627912931        Equal GLC            42.9736403675       
411                  4                    100                  0.9100000000         Equal GLC            60.2119675628        Equal GLC            23.1982285024       
411                  5                    100                  0.7900000000         Equal GLC            97.9317502514        Equal GLC            42.0581198467       
411                  6                    100                  0.7300000000         Unidimensional Y     100.7302652047       Equal GLC            45.5063101034       
412                  1                    100                  0.8200000000         Unidimensional Y     103.3675546977       Equal GLC            45.6874596047       
412                  2                    100                  0.8700000000         Unidimensional Y     69.3224236557        Equal GLC            29.8946713940       
412                  3                    100                  0.8900000000         Unidimensional X     82.5307581936        Unidimensional X     36.6602089108       
412                  4                    100                  0.9400000000         Unidimensional X     31.4593957282        Unidimensional X     11.1245276781       
412                  5                    100                  0.6800000000         Unidimensional Y     120.3561221682       Equal GLC            53.4574868664       
412                  6                    100                  0.8100000000         Equal GLC            64.1468090127        Equal GLC            25.1656492274       
413                  1                    100                  0.9200000000         Equal GLC            67.1283352322        Equal GLC            26.6564123371       
413                  2                    100                  0.9200000000         Unidimensional X     54.9213004332        Equal GLC            21.4039507779       
413                  3                    100                  0.9200000000         Unidimensional Y     68.2156545719        Equal GLC            28.3449810865       
413                  4                    100                  0.9600000000         Unidimensional Y     35.9060040111        Unidimensional Y     13.3478318196       
413                  5                    100                  0.7000000000         Unidimensional Y     106.2317783129       Equal GLC            46.7628161449       
413                  6                    100                  0.7200000000         Unidimensional Y     91.1015524714        Equal GLC            39.3510740965       
414                  1                    100                  0.7800000000         Equal GLC            105.0193971758       Equal GLC            45.6019433089       
414                  2                    100                  0.8700000000         Unidimensional Y     70.1594887851        Equal GLC            30.1838208632       
414                  3                    100                  0.7300000000         Unidimensional X     112.9170323684       Equal GLC            51.7127925589       
414                  4                    100                  0.7900000000         Equal GLC            108.7284557332       Equal GLC            47.4564725876       
414                  5                    100                  0.5500000000         Guessing             138.6294361120       Biased Guessing      68.8138813714       
414                  6                    100                  0.5000000000         Guessing             138.6294361120       Biased Guessing      69.2346967090       
415                  1                    100                  0.6900000000         Unidimensional X     74.3098553358        Equal GLC            31.2210942218       
415                  2                    100                  0.6400000000         Unidimensional X     126.7164638204       Equal GLC            58.0724591692       
415                  3                    100                  0.6700000000         Unidimensional X     130.1323044791       Equal GLC            60.3470429706       
415                  4                    100                  0.7900000000         Unidimensional X     91.6096501440        Unidimensional X     41.1996548860       
415                  5                    100                  0.4700000000         Biased Guessing      137.4179954988       Biased Guessing      66.4064126564       
415                  6                    100                  0.4900000000         Guessing             138.6294361120       Guessing             69.3147180560       
